Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked,Location 1
1995,Alabama,0.22,0.02,0.21,0.55,"Alabama
(32.840569999605975, -86.63186000013877)"
1996,Alabama,0.18,0.05,0.22,0.56,"Alabama
(32.840569999605975, -86.63186000013877)"
1997,Alabama,0.21,0.04,0.22,0.53,"Alabama
(32.840569999605975, -86.63186000013877)"
1998,Alabama,0.19,0.05,0.22,0.54,"Alabama
(32.840569999605975, -86.63186000013877)"
1999,Alabama,0.18,0.05,0.24,0.52,"Alabama
(32.840569999605975, -86.63186000013877)"
2000,Alabama,0.19,0.06,0.24,0.51,"Alabama
(32.840569999605975, -86.63186000013877)"
2001,Alabama,0.17,0.07,0.23,0.53,"Alabama
(32.840569999605975, -86.63186000013877)"
2002,Alabama,0.19,0.05,0.23,0.52,"Alabama
(32.840569999605975, -86.63186000013877)"
2003,Alabama,0.20,0.06,0.24,0.51,"Alabama
(32.840569999605975, -86.63186000013877)"
2004,Alabama,0.19,0.06,0.21,0.54,"Alabama
(32.840569999605975, -86.63186000013877)"
2005,Alabama,0.19,0.06,0.21,0.54,"Alabama
(32.840569999605975, -86.63186000013877)"
2006,Alabama,0.18,0.06,0.23,0.54,"Alabama
(32.840569999605975, -86.63186000013877)"
2007,Alabama,0.17,0.06,0.23,0.54,"Alabama
(32.840569999605975, -86.63186000013877)"
2008,Alabama,0.17,0.05,0.22,0.56,"Alabama
(32.840569999605975, -86.63186000013877)"
2009,Alabama,0.17,0.06,0.23,0.55,"Alabama
(32.840569999605975, -86.63186000013877)"
2010,Alabama,0.16,0.06,0.24,0.54,"Alabama
(32.840569999605975, -86.63186000013877)"
1995,Alaska,0.22,0.03,0.27,0.48,"Alaska
(64.84507999974238, -147.72205999986895)"
1996,Alaska,0.22,0.06,0.26,0.46,"Alaska
(64.84507999974238, -147.72205999986895)"
1997,Alaska,0.22,0.04,0.25,0.49,"Alaska
(64.84507999974238, -147.72205999986895)"
1998,Alaska,0.20,0.06,0.25,0.48,"Alaska
(64.84507999974238, -147.72205999986895)"
1999,Alaska,0.19,0.08,0.26,0.47,"Alaska
(64.84507999974238, -147.72205999986895)"
2000,Alaska,0.19,0.06,0.28,0.47,"Alaska
(64.84507999974238, -147.72205999986895)"
2001,Alaska,0.19,0.07,0.27,0.47,"Alaska
(64.84507999974238, -147.72205999986895)"
2002,Alaska,0.22,0.07,0.26,0.45,"Alaska
(64.84507999974238, -147.72205999986895)"
2003,Alaska,0.19,0.07,0.26,0.48,"Alaska
(64.84507999974238, -147.72205999986895)"
2004,Alaska,0.16,0.09,0.24,0.51,"Alaska
(64.84507999974238, -147.72205999986895)"
2005,Alaska,0.19,0.06,0.24,0.51,"Alaska
(64.84507999974238, -147.72205999986895)"
2006,Alaska,0.16,0.08,0.28,0.49,"Alaska
(64.84507999974238, -147.72205999986895)"
2007,Alaska,0.16,0.07,0.27,0.51,"Alaska
(64.84507999974238, -147.72205999986895)"
2008,Alaska,0.15,0.06,0.28,0.50,"Alaska
(64.84507999974238, -147.72205999986895)"
2009,Alaska,0.15,0.06,0.28,0.51,"Alaska
(64.84507999974238, -147.72205999986895)"
2010,Alaska,0.14,0.07,0.26,0.54,"Alaska
(64.84507999974238, -147.72205999986895)"
1995,Arizona,0.20,0.02,0.26,0.52,"Arizona
(34.86596999961597, -111.76380999973156)"
1996,Arizona,0.20,0.04,0.25,0.51,"Arizona
(34.86596999961597, -111.76380999973156)"
1997,Arizona,0.18,0.03,0.14,0.65,"Arizona
(34.86596999961597, -111.76380999973156)"
1998,Arizona,0.20,0.02,0.17,0.61,"Arizona
(34.86596999961597, -111.76380999973156)"
1999,Arizona,0.18,0.02,0.18,0.62,"Arizona
(34.86596999961597, -111.76380999973156)"
2000,Arizona,0.14,0.05,0.22,0.60,"Arizona
(34.86596999961597, -111.76380999973156)"
2001,Arizona,0.16,0.06,0.25,0.53,"Arizona
(34.86596999961597, -111.76380999973156)"
2002,Arizona,0.18,0.06,0.24,0.52,"Arizona
(34.86596999961597, -111.76380999973156)"
2003,Arizona,0.15,0.06,0.26,0.53,"Arizona
(34.86596999961597, -111.76380999973156)"
2004,Arizona,0.14,0.05,0.25,0.57,"Arizona
(34.86596999961597, -111.76380999973156)"
2005,Arizona,0.14,0.07,0.26,0.54,"Arizona
(34.86596999961597, -111.76380999973156)"
2006,Arizona,0.12,0.06,0.25,0.57,"Arizona
(34.86596999961597, -111.76380999973156)"
2007,Arizona,0.14,0.06,0.24,0.56,"Arizona
(34.86596999961597, -111.76380999973156)"
2008,Arizona,0.11,0.05,0.27,0.57,"Arizona
(34.86596999961597, -111.76380999973156)"
2009,Arizona,0.11,0.05,0.26,0.58,"Arizona
(34.86596999961597, -111.76380999973156)"
2010,Arizona,0.11,0.04,0.28,0.57,"Arizona
(34.86596999961597, -111.76380999973156)"
1995,Arkansas,0.23,0.02,0.24,0.52,"Arkansas
(34.748649999697875, -92.27448999971358)"
1996,Arkansas,0.22,0.03,0.18,0.57,"Arkansas
(34.748649999697875, -92.27448999971358)"
1997,Arkansas,0.25,0.04,0.20,0.51,"Arkansas
(34.748649999697875, -92.27448999971358)"
1998,Arkansas,0.22,0.04,0.24,0.50,"Arkansas
(34.748649999697875, -92.27448999971358)"
1999,Arkansas,0.23,0.05,0.23,0.50,"Arkansas
(34.748649999697875, -92.27448999971358)"
2000,Arkansas,0.20,0.05,0.25,0.50,"Arkansas
(34.748649999697875, -92.27448999971358)"
2001,Arkansas,0.20,0.05,0.24,0.51,"Arkansas
(34.748649999697875, -92.27448999971358)"
2002,Arkansas,0.22,0.05,0.25,0.49,"Arkansas
(34.748649999697875, -92.27448999971358)"
2003,Arkansas,0.21,0.04,0.25,0.50,"Arkansas
(34.748649999697875, -92.27448999971358)"
2004,Arkansas,0.19,0.06,0.25,0.50,"Arkansas
(34.748649999697875, -92.27448999971358)"
2005,Arkansas,0.18,0.05,0.25,0.52,"Arkansas
(34.748649999697875, -92.27448999971358)"
